region_id,lon_center,lat_center,Transportation Facilities,Leisure & Entertainment,Companies & Enterprises,Healthcare,Commercial & Residential,Tourist Attractions,Automotive,Life Services,Science & Education & Culture,Shopping & Consumer Goods,Sports & Fitness,Hotels & Accommodations,Financial Institutions,Dining & Cuisine
0,113.905,22.505,0.012,0.0,0.011,0.0,0.033,0.889,0.027,0.024,0.0,0.0,0.0,0.0,0.0,0.004
1,113.915,22.505,0.103,0.048,0.042,0.075,0.097,0.047,0.04,0.075,0.093,0.074,0.094,0.108,0.054,0.051
2,113.925,22.505,0.104,0.088,0.013,0.103,0.083,0.058,0.047,0.072,0.104,0.067,0.106,0.042,0.048,0.064
3,113.935,22.505,0.079,0.058,0.019,0.112,0.044,0.032,0.064,0.084,0.098,0.059,0.162,0.032,0.116,0.042
4,113.945,22.505,0.17,0.042,0.031,0.0,0.095,0.327,0.105,0.066,0.011,0.013,0.036,0.0,0.101,0.005
5,113.955,22.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,113.965,22.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,113.975,22.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,113.985,22.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,113.995,22.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,114.005,22.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,114.015,22.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,114.025,22.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,114.035,22.505,0.154,0.072,0.32,0.028,0.109,0.0,0.061,0.061,0.074,0.018,0.062,0.0,0.0,0.041
14,114.045,22.505,0.145,0.0,0.258,0.018,0.154,0.0,0.074,0.042,0.11,0.015,0.082,0.009,0.077,0.015
15,114.055,22.505,0.097,0.0,0.234,0.023,0.141,0.03,0.064,0.067,0.073,0.03,0.077,0.0,0.134,0.032
